name,popularity,danceability,energy,valence,tempo,team_member_id
Akashi,31,0.475,0.563,0.343,82.029,mem_4
Arigatou,44,0.527,0.744,0.341,79.042,mem_4
Last Scene,48,0.535,0.646,0.394,80.094,mem_4
Good Goodbye,37,0.278,0.218,0.204,83.961,mem_4
A or B,19,0.569,0.638,0.583,169.973,mem_4
Natsu No Owari,31,0.639,0.687,0.429,84.016,mem_4
Cherry Blossom Love Song,55,0.377,0.304,0.212,72.173,mem_4
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",65,0.728,0.69,0.415,94.028,mem_4
Dream,32,0.592,0.582,0.473,93.979,mem_4
Whatcha Doin',52,0.553,0.889,0.742,99.329,mem_4
Song For Love Korean Version,34,0.538,0.712,0.142,135.887,mem_4
Namida Reset,27,0.517,0.666,0.379,84.97,mem_4
Boku Ga Shinou To Omottanowa,49,0.55,0.555,0.383,167.871,mem_4
Pretty Girl Rock,67,0.666,0.87,0.9,160.014,mem_4
Memories,99,0.764,0.32,0.575,91.019,mem_4
Good Life,32,0.667,0.575,0.18,81.008,mem_4
Rise,44,0.408,0.579,0.373,81.363,mem_4
Forever My Lady,54,0.706,0.496,0.771,118.022,mem_4
Bad Guy,96,0.701,0.425,0.562,135.128,mem_4
